PLEASEUSE,PLEASE USE HEADPHONES AND A MICROPHONE,VEUILLEZ UTILISER UN CASQUE ET UN MICRO.,USA CUFFIE E MICROFONO!,BITTE BENUTZE KOPFHÖRER UND EIN MIKROFON,SE RECOMIENDA USAR AURICULARES Y MICRÓFONO,NO OLVIDES USAR AURICULARES Y MICRÓFONO,USE FONES DE OUVIDO E UM MICROFONE,ИСПОЛЬЗУЙТЕ НАУШНИКИ И МИКРОФОН,ДЛЯ НАЙКРАЩОГО ДОСВІДУ ВИКОРИСТОВУЙТЕ НАВУШНИКИ Й МІКРОФОН,请使用耳机与麦克风获取更佳体验,,ヘッドホンとマイクをご使用ください,헤드폰과 마이크를 사용해 주세요,PROSZĘ KORZYSTAĆ ZE SŁUCHAWEK I MIKROFONU,LÜTFEN KULAKLIK VE MİKROFON KULLAN,ENDLINE
SELECTMIC,SELECT MICROPHONE,SÉLECTIONNER UN MICRO,SELEZIONA UN MICROFONO,MIKROFON AUSWÄHLEN,ELEGIR MICRÓFONO,SELECCIONAR MICRÓFONO,SELECIONE O MICROFONE,ВЫБЕРИТЕ МИКРОФОН,ВИБРАТИ МІКРОФОН,选择麦克风,,マイクを選択する,마이크 선택,WYBIERZ MIKROFON,MİKROFON SEÇ,ENDLINE
CONTINUE,CONTINUE,CONTINUER,CONTINUA,FORTFAHREN,CONTINUAR,CONTINUAR,CONTINUAR,ПРОДОЛЖИТЬ,ДАЛІ,继续,,続ける,계속,KONTYNUUJ,DEVAM ET,ENDLINE
VERSIONOUTOFDATE,VERSION OUT OF DATE,VERSION OBSOLÈTE,VERSIONE NON AGGIORNATA,VERSION VERALTET,VERSIÓN OBSOLETA,VERSIÓN OBSOLETA,VERSÃO DESATUALIZADA,ВЕРСИЯ УСТАРЕЛА,ВЕРСІЯ ЗАСТАРІЛА,版本过时,,古いバージョンです,오래된 버전,WERSJA NIEAKTUALNA,ESKİ VERSİYON,ENDLINE
CLOSETHEGAME,Close and update the game.,Veuillez quitter le jeu et effectuer la mise à jour.,Chiudi e aggiorna il gioco!,Schließe und aktualisiere das Spiel.,Cierra y actualiza el juego.,Cierra el juego y actualízalo.,Fechar e atualizar jogo.,Закрыть и обновить игру.,Для продовження закрийте й оновіть гру.,关闭并更新游戏。,,ゲームを終了し、アップデートしてください。,게임을 닫고 업데이트하세요.,Zamknij i zaktualizuj grę.,Oyunu kapat ve güncelle.,ENDLINE
OK,OK,OK,OK,OKAY,Aceptar,ACEPTAR,OK,ОК,ОК,好,,OK,확인,OK,TAMAM,ENDLINE
RESUME,RESUME,REPRENDRE,RIPRENDI,WEITER,REANUDAR,REANUDAR,RETOMAR,ПРОДОЛЖИТЬ,ПРОДОВЖИТИ,恢复,,再開,재개,WZNÓW,DEVAM ET,ENDLINE
INVITEFRIENDS,INVITE FRIENDS,INVITER DES AMIS,INVITA AMICI,FREUNDE EINLADEN,INVITAR AMIGOS,INVITAR AMIGOS,CONVIDAR AMIGOS,ПРИГЛАСИТЬ ДРУЗЕЙ,ЗАПРОСИТИ ДРУЗІВ,邀请好友,,フレンドを招待する,친구 초대,ZAPROŚ ZNAJOMYCH,ARKADAŞLARINI DAVET ET,ENDLINE
ACCOLADES,ACCOLADES,DISTINCTIONS,TRAGUARDI,AUSZEICHNUNGEN,GALARDONES,DISTINCIONES,HONRARIAS,НАГРАДЫ,ДОСЯГНЕННЯ,勋荣,,実績,자랑거리,WYRÓŻNIENIA,BAŞARILAR,ENDLINE
CONTROLS,CONTROLS,COMMANDES,COMANDI,STEUERUNG,CONTROLES,CONTROLES,CONTROLES,УПРАВЛЕНИЕ,КЕРУВАННЯ,操作方式,,コントロール,조작 방법,STEROWANIE,KONTROLLER,ENDLINE
LEAVEGAME,LEAVE GAME,QUITTER,ABBANDONA PARTITA,SPIEL VERLASSEN,SALIR DEL JUEGO,SALIR DEL JUEGO,SAIR DO JOGO,ПОКИНУТЬ ИГРУ,ПОКИНУТИ ГРУ,离开游戏,,ゲームをやめる,게임 떠나기,OPUŚĆ GRĘ,OYUNDAN AYRIL,ENDLINE
MOVE,MOVE,SE DÉPLACER,MUOVITI,BEWEGEN,MOVER,MOVERSE,MOVER,ДВИГАТЬСЯ,РУХ,移动,,移動,이동,PORUSZAJ SIĘ,HAREKET ET,ENDLINE
AIM,AIM,VISER,MIRA,ZIELEN,APUNTAR,APUNTAR,MIRAR,ПРИЦЕЛИВАТЬСЯ,НАВЕДЕННЯ,瞄准,,狙う,조준,WYCELUJ,NİŞAN AL,ENDLINE
CLIMB,CLIMB,ESCALADER,ARRAMPICATI,KLETTERN,ESCALAR,ESCALAR,ESCALAR,ВЗОБРАТЬСЯ,ПІДЙОМ,攀爬,,登る,등반,WSPINAJ SIĘ,TIRMAN,ENDLINE
HELPINGHAND,HELPING HAND,AIDER,AIUTA,HELFENDE HAND,ECHAR UNA MANO,AYUDAR,DAR A MÃO,ПОМОЧЬ,РУКА ДОПОМОГИ,伸出援手,,手を貸す,손 내밀기,POMOCNA DŁOŃ,YARDIM ELİ UZAT,ENDLINE
INTERACT,INTERACT,INTERAGIR,INTERAGISCI,INTERAGIEREN,INTERACTUAR,INTERACTUAR,INTERAGIR,ВЗАИМОДЕЙСТВОВАТЬ,ВЗАЄМОДІЯ,互动,,操作する,상호 작용,INTERAKCJA,ETKİLEŞİME GİR,ENDLINE
DROPTHROW,DROP / THROW (HOLD),LÂCHER / JETER (MAINTENIR),POSA/LANCIA (PREMUTO),FALLEN LASSEN / WERFEN (HALTEN),SOLTAR / ARROJAR (MANTÉN),SOLTAR / LANZAR (MANTENER PRESIONADO),LARGAR / ARREMESSAR (SEGURAR),БРОСИТЬ/МЕТНУТЬ (УДЕРЖИВАТЬ),ПОКЛАСТИ/КИНУТИ (УТРИМУВАТИ),丢下/投掷（按住）,,落とす／投げる（長押し）,내려놓기/던지기(길게 누르기),UPUŚĆ / RZUĆ (PRZYTRZYMAJ),BIRAK / FIRLAT (BASILI TUT),ENDLINE
JUMP,JUMP,SAUTER,SALTA,SPRINGEN,SALTAR,SALTAR,PULAR,ПРЫГНУТЬ,СТРИБОК,跳跃,,ジャンプ,점프,SKOCZ,ZIPLA,ENDLINE
CROUCH,CROUCH,S'ACCROUPIR,ACCOVACCIATI,DUCKEN,AGACHARSE,AGACHARSE,AGACHAR,ПРИГНУТЬСЯ,ПРИСІДАННЯ,蹲伏,,しゃがむ,앉기,KUCNIJ,ÇÖMEL,ENDLINE
SPRINTLEAP,SPRINT / LEAP (WHILE CLIMBING),COURIR / S'ÉLANCER (EN ESCALADANT),CORRI/BALZA (MENTRE TI ARRAMPICHI),SPRINTEN / KLETTERSPRUNG,CORRER / SALTAR (ESCALANDO),CORRER / LANZARSE (MIENTRAS ESCALAS),CORRER / SALTAR (EM ESCALADA),БЕЖАТЬ/ПРЫГНУТЬ (ПРИ ЗАЛЕЗАНИИ),СПРИНТ/РИВОК (ПІД ЧАС ПІДЙОМУ),冲刺/跳跃（攀爬时）,,全力で走る／飛ぶ（登っているとき）,질주/뛰어오르기(등반 중),BIEGNIJ / RZUĆ SIĘ (PODCZAS WSPINACZKI),DEPAR AT / ATIL (TIRMANIRKEN),ENDLINE
PING,PING LOCATION,PLACER UN REPÈRE,SEGNALA POSIZIONE,STANDORT PINGEN,ENVIAR UBICACIÓN,MARCAR UBICACIÓN,MARCAR LOCAL,ПОМЕТИТЬ ТОЧКУ,ВКАЗІВКА НА ЛОКАЦІЮ,标记位置,,位置を示す,위치 표시,OZNACZ MIEJSCE,KONUMU İŞARETLE,ENDLINE
EMOTE,EMOTE,ÉMOTE,USA EMOTE,EMOTE,GESTICULAR,USAR GESTO,GESTO,ЭМОЦИЯ,ЕМОЦІЯ,表情,,エモート,감정 표현,UŻYJ EMOTKI,İFADE,ENDLINE
BACK,BACK,RETOUR,INDIETRO,ZURÜCK,VOLVER,ATRÁS,VOLTAR,НАЗАД,НАЗАД,返回,,戻る,뒤로,WRÓĆ,GERİ,ENDLINE
CONTROLSNOTSUPPORTED,Controls remapping is not currently supported.\nYou can use Steam Input to remap gamepads.,La reconfiguration des commandes n'est pas encore disponible.\nUtilisez Steam Input pour reconfigurer les commandes de votre manette.,Il gioco non supporta la rimappatura dei comandi.\nPuoi usare Steam Input per rimappare i gamepad.,Die Tastenbelegung kann aktuell noch nicht angepasst werden.\nÜber Steam-Eingabe kannst du Controller-Tasten neu zuweisen.,Actualmente no pueden cambiarse los controles.\nPuedes usar el Steam Input para configurar un mando de juego.,No es posible reasignar los controles actualmente.\nPuedes usar la función Steam Input para reasignar los controles de juego.,O remapeamento de controle não está disponível no momento.\nUse a Entrada Steam para remapear controles.,Сейчас настройка управления не поддерживается.\nВы можете использовать систему ввода Steam для настройки контроллеров.,"Наразі переналаштування клавіш не підтримується.\nЩоб змінити налаштування кнопок на контролерах, використовуйте Steam Input.",目前尚不支持控制按键重设。\n您可使用 Steam Input 对手柄进行重映射。,,現在、操作キーの再割り当てには対応していません。\nSteam Inputを使うことで、ゲームパッドのボタン配置を変更できます。,현재 조작 방법 변경이 지원되지 않습니다.\n게임패드는 Steam Input을 사용해 조작 방법을 변경할 수 있습니다.,"Zmiana funkcji przycisków nie jest obecnie możliwa.\nMożesz użyć Steam Input, aby zmieniać funkcje przycisków na kontrolerach.",Kontrol atamaları şu an desteklenmiyor.\nOyun kumandası düğmelerini yeniden atamak için Steam Girdisi kullanabilirsin.,ENDLINE
PEAKSSUMMITTTED,PEAKS SUMMITTED: #,PICS ATTEINTS : #,VETTE SCALATE: #,PEAKS ERREICHT: #,PICOS CORONADOS: #,CIMAS ALCANZADAS: #,PICOS DOMINADOS: #,ПОКОРЕНО ПИКОВ: #,ПІДКОРЕНО ПІКІВ: #,已登上顶峰：#,,登頂数：#,정상 정복: #회,ZDOBYTE SZCZYTY: #,ÇIKILAN ZİRVELER: #,ENDLINE
NAME_PARTICIPATION,PARTICIPATION BADGE,BADGE DE PARTICIPATION,PARTECIPAZIONE,TEILNAHME-ABZEICHEN,INSIGNIA DE PARTICIPACIÓN,INSIGNIA DE PARTICIPACIÓN,INSÍGNIA DE PARTICIPAÇÃO,НАГРАДА ЗА УЧАСТИЕ,ЗНАЧОК «УЧАСНИК»,参与奖章,,参加バッジ,참여 배지,ODZNAKA ZA UCZESTNICTWO,KATILIM ROZETİ,ENDLINE
DESC_PARTICIPATION,Have a friend escape the island without you.,L'un de vos amis s'est échappé de l'île sans vous.,Resta sull'isola come fantasma mentre un amico fugge.,"Bleibe zurück, während ein Freund ohne dich von der Insel entkommt.",Haz que un amigo escape de la isla sin ti.,Haz que un amigo escape de la isla sin ti.,Deixe um amigo escapar da ilha sem você.,Друг покинул остров без вас.,Дозвольте другу врятуватися з острова без вас.,让一名好友逃离岛屿而不带上你。,,フレンドがあなたを残して島から脱出する。,플레이어 없이 친구가 섬에서 탈출하게 하세요.,"Przyznawana za znajomego, który wydostał się z wyspy bez ciebie.",Bir arkadaşın adadan kaçarken geride kal.,ENDLINE
NAME_BEACHCOMBER,BEACHCOMBER BADGE,BADGE D'ÉCUME-PLAGE,GUARDIACOSTE,STRANDRÄUBER-ABZEICHEN,INSIGNIA DE CABOTAJE,INSIGNIA DE BUSCATESOROS,INSÍGNIA DO NÁUFRAGO,ПЛЯЖНЫЙ ОТДЫХ,ЗНАЧОК «ДОСЛІДНИК ПЛЯЖУ»,赶海人奖章,,浜辺の捜索者バッジ,해변 청소부 배지,ODZNAKA PLAŻOWEGO GRZEBACZA,SAHİLGEZER ROZETİ,ENDLINE
DESC_BEACHCOMBER,Climb past the SHORE.,Franchissez la PLAGE.,Supera la Spiaggia.,Erklimme die KÜSTE.,Escala más allá de la COSTA.,Sube más allá de la COSTA.,Escale a COSTA.,Выберитесь за пределы БЕРЕГА.,Обійдіть БЕРЕГ і підніміться вгору.,爬过海岸。,,海岸の先に進む。,해안 너머로 등반하세요.,Wespnij się poza WYBRZEŻE.,SAHİL'e tırman.,ENDLINE
NAME_TRAILBLAZER,TRAILBLAZER BADGE,BADGE DE PIONNIER,APRIPISTA,PIONIER-ABZEICHEN,INSIGNIA DE PIONERO,INSIGNIA DE PIONERO,INSÍGNIA DO DESBRAVADOR,ПЕРВОПРОХОДЕЦ,ЗНАЧОК «ПЕРШОПРОХОДЕЦЬ»,辟路者奖章,,開拓者バッジ,개척자 배지,ODZNAKA PIONIERA,ÖNCÜ ROZETİ,ENDLINE
DESC_TRAILBLAZER,Climb past the TROPICS.,Franchissez les TROPIQUES.,Supera i Tropici.,Erklimme die TROPEN.,Escala más allá del TRÓPICO.,Sube más allá de la ZONA TROPICAL.,Escale o TRÓPICO.,Выберитесь за пределы ТРОПИКОВ.,Перейдіть ТРОПІКИ і підніміться вгору.,爬过雨林。,,熱帯の先に進む。,열대 너머로 등반하세요.,Wespnij się poza LAS TROPIKALNY.,TROPİKA'ya tırman.,ENDLINE
NAME_ALPINIST,ALPINIST BADGE,BADGE D'ALPINISTE,ALPINISTA,BERGSTEIGER-ABZEICHEN,INSIGNIA DE ALPINISTA,INSIGNIA DE ALPINISTA,INSÍGNIA DO ALPINISTA,АЛЬПИНИСТ,ЗНАЧОК «АЛЬПІНІСТ»,登山家奖章,,登山家バッジ,등산가 배지,ODZNAKA ALPINISTY,DAĞCI ROZETİ,ENDLINE
DESC_ALPINIST,Climb past the ALPINE.,Franchissez les ALPES.,Supera le Nevi.,Erklimme das SCHNEEGEBIRGE.,Escala más allá de la SIERRA.,Sube más allá de la ZONA ALPINA.,Escale os ALPES.,Выберитесь за пределы ВЫСОКОГОРЬЯ.,Пройдіть крізь ВИСОКОГІР’Я і підніміться вгору.,爬过雪山。,,高山の先に進む。,고산 지대 너머로 등반하세요.,Wespnij się poza GÓRY.,ALPLER'e tırman.,ENDLINE
NAME_VOLCANOLOGY,VOLCANOLOGY BADGE,BADGE DE VOLCANOLOGUE,VULCANOLOGIA,VULKANOLOGIE-ABZEICHEN,INSIGNIA DE VULCANOLOGÍA,INSIGNIA DE VULCANOLOGÍA,INSÍGNIA DE VULCANOLOGIA,ВУЛКАНОЛОГ,ЗНАЧОК «ВУЛКАНОЛОГ»,火山学奖章,,火山学バッジ,화산학 배지,ODZNAKA WULKANOLOGA,VOLKANBİLİM ROZETİ,ENDLINE
DESC_VOLCANOLOGY,Climb past the CALDERA.,Franchissez la CALDERA.,Supera la Caldera.,Erklimme die CALDERA,Escala más allá de la CALDERA.,Sube más allá de la CALDERA.,Escale a CALDEIRA.,Выберитесь за пределы КАЛЬДЕРЫ.,Пройдіть через КАЛЬДЕРУ і підніміться вгору.,爬过火山。,,カルデラの先に進む。,칼데라 너머로 등반하세요.,Wespnij się poza KALDERĘ.,KALDERA'ya tırman.,ENDLINE
NAME_PEAKBADGE,PEAK BADGE,BADGE DU PIC,VETTA,PEAK-ABZEICHEN,INSIGNIA DEL PICO,INSIGNIA DE LA CIMA,INSÍGNIA DO PICO,ПИК,ЗНАЧОК «ПІК»,顶峰奖章,,山頂バッジ,정상 배지,ODZNAKA SZCZYTU,ZİRVE ROZETİ,ENDLINE
DESC_PEAKBADGE,Reach the PEAK.,Atteignez la cime.,Raggiungi la Vetta.,Erreiche den PEAK.,Alcanza el PICO.,Alcanza la CIMA.,Alcance o PICO.,Доберитесь до ПИКА.,Дістаньтеся до ПІКУ.,抵达顶峰。,,山頂に到達する。,정상에 도달하세요.,Wespnij się na SZCZYT.,ZİRVE'ye ulaş.,ENDLINE
NAME_COOKING,COOKING BADGE,BADGE DE CUISINE,CHEF,KOCH-ABZEICHEN,INSIGNIA DE COCINA,INSIGNIA DE COCINA,INSÍGNIA DO COZINHEIRO,ПОВАР,ЗНАЧОК «ШЕФ»,烹饪奖章,,料理バッジ,요리 배지,ODZNAKA KUCHARZA,AŞÇILIK ROZETİ,ENDLINE
DESC_COOKING,Cook 20 meals at campfires.,Cuisinez 20 repas à l'aide des feux de camp.,Cucina 20 pasti sui fuochi da campo.,Bereite 20 Mahlzeiten am Lagerfeuer zu.,Prepara 20 comidas en fogatas.,Cocina 20 comidas en fogatas.,Prepare 20 refeições nas fogueiras.,Приготовьте 20 блюд на костре.,Приготуйте 20 страв на вогнищі.,在营火处做 20 次饭。,,キャンプファイアで20回食事を作る。,모닥불 옆에서 음식을 20번 요리하세요.,Upiecz na ognisku 20 posiłków.,Kamp ateşlerinde 20 yemek pişir.,ENDLINE
NAME_HAPPY CAMPER,HAPPY CAMPER BADGE,BADGE DE JOYEUX CAMPEUR,CORAGGIO,LAGERFREUDEN-ABZEICHEN,INSIGNIA DE CAMPISTA FELIZ,INSIGNIA DE CAMPISTA FELIZ,INSÍGNIA DO CAMPISTA,СЧАСТЛИВЫЙ ПОХОДНИК,ЗНАЧОК «ЩАСЛИВИЙ КЕМПІСТ»,欢乐露营奖章,,ハッピーキャンパーバッジ,행복한 캠핑객 배지,ODZNAKA WESOŁEGO BIWAKOWICZA,MUTLU KAMPÇI ROZETİ,ENDLINE
DESC_HAPPY CAMPER,Receive 5 Morale Boosts from campfires.,Améliorez votre moral 5 fois à l'aide de feux de camp.,Ricevi 5 incoraggiamenti dai fuochi da campo.,Erhalte 5 Moral-Boosts von Lagerfeuern.,Recibe 5 aumentos de moral en fogatas.,Recibe 5 aumentos de moral de fogatas.,Receba 5 Reforços de Moral de fogueiras.,Получите 5 подбадриваний от костров.,Отримайте 5 підйомів морального духу біля вогнищ.,从营火处获得 5 次士气提升。,,キャンプファイアで気力ブーストを5回手に入れる。,모닥불에서 사기 증가 효과를 5번 받으세요.,Otrzymaj z ognisk 5 wzmocnień morale.,Kamp ateşlerinden 5 Moral artışı kazan.,ENDLINE
NAME_BOULDERING,BOULDERING BADGE,BADGE DE PRO DE LA VARAPPE,CAPOCORDATA,FELSENKLETTERER-ABZEICHEN,INSIGNIA DE PICAPEDRERO,INSIGNIA DE ESCALADA,INSÍGNIA DO MONTANHISTA,БОЛДЕРИНГ,ЗНАЧОК «СКЕЛЕЛАЗ»,攀岩奖章,,ボルダリングバッジ,암벽 타기 배지,ODZNAKA ZA WSPINACZKĘ,KAYA TIRMANIŞI ROZETİ,ENDLINE
DESC_BOULDERING,Place 10 pitons.,Plantez 10 pitons.,Pianta 10 chiodi da roccia.,Platziere 10 Haken.,Coloca 10 mosquetones.,Coloca 10 clavijas.,Fixe 10 pitons.,Поставьте 10 скальных крюков.,Закріпіть 10 гаків.,放置 10 根岩钉。,,ピトンを10回打ち込む。,피톤을 10개 설치하세요.,Umieść 10 haków.,10 dağcı çivisi yerleştir.,ENDLINE
NAME_TOXICOLOGY,TOXICOLOGY BADGE,BADGE DE TOXICOLOGUE,TOSSICOLOGIA,TOXIKOLOGIE-ABZEICHEN,INSIGNIA DE TOXICOLOGÍA,INSIGNIA DE TOXICOLOGÍA,INSÍGNIA TOXICOLÓGICA,ТОКСИКОЛОГ,ЗНАЧОК «ТОКСИКОЛОГ»,毒理学奖章,,毒物学バッジ,독성학 배지,ODZNAKA TOKSYKOLOGA,ZEHİRBİLİM ROZETİ,ENDLINE
DESC_TOXICOLOGY,Restore 200 total poison by using items.,Soignez 200 points de poison avec des objets.,Cura 200 punti veleno utilizzando oggetti.,Heile mit Gegenständen insgesamt 200 Giftpunkte.,Sana 200 % de envenenamiento en total usando objetos.,Restaura un total de 200 puntos de veneno con objetos.,Restaure um total de 200 de veneno usando itens.,Вылечите предметами в общей сложности 200 очков яда.,Позбавтеся 200 одиниць отруєння за допомогою предметів.,使用道具恢复总计 200 点中毒值。,,アイテムを使い、毒状態から200%回復する。,아이템을 사용해 총 200의 독을 회복하세요.,"Wylecz łącznie 200 pkt. obrażeń od trucizny, używając przedmiotów.",Eşya kullanarak 200 zehir iyileştir.,ENDLINE
NAME_FORAGING,FORAGING BADGE,BADGE DE CUEILLETTE,FORAGGIAMENTO,SAMMMLER-ABZEICHEN,INSIGNIA DE FORRAJEO,INSIGNIA DE FORRAJEO,INSÍGNIA DO COLETOR,ФУРАЖИР,ЗНАЧОК «ЗБИРАЧ»,觅食奖章,,採集バッジ,채집 배지,ODZNAKA ZBIERACZA,TOPLAYICILIK ROZETİ,ENDLINE
DESC_FORAGING,Eat 5 different berries in a single expedition.,Mangez 5 baies différentes au cours d'une même expédition.,Mangia 5 bacche diverse in una sola spedizione.,Iss auf einer Expedition 5 verschiedene Beeren.,Come 5 bayas distintas en la misma expedición.,Come 5 bayas distintas en una sola expedición.,Consuma 5 bagas diferentes em uma única expedição.,Съешьте 5 разных ягод за одну экспедицию.,З’їжте 5 видів ягід за одну експедицію.,单次探险食用 5 种不同浆果。,,1回の探検で5種類のベリーを食べる。,한 번의 원정에서 5가지 열매를 먹으세요.,Zjedz 5 różnych jagód podczas jednej wyprawy.,Tek bir keşif gezisinde 5 farklı yemiş ye.,ENDLINE
NAME_ESOTERICA,ESOTERICA BADGE,BADGE D'ÉSOTÉRISME,MISTICISMO,ESOTERIK-ABZEICHEN,INSIGNIA DE ESOTERISMO,INSIGNIA DE ESOTERISMO,INSÍGNIA ESOTÉRICA,ЭЗОТЕРИКА,ЗНАЧОК «ЕЗОТЕРИК»,玄学奖章,,神秘バッジ,불가사의 배지,ODZNAKA EZOTERYCZNA,EZOTERİK ROZET,ENDLINE
DESC_ESOTERICA,Obtain a mystical item.,Obtenez un objet mystique.,Ottieni un oggetto mistico.,Erhalte einen mystischen Gegenstand.,Obtén un artefacto místico.,Obtén un objeto místico.,Obtenha um item místico.,Добудьте мистический предмет.,Знайдіть містичний предмет.,获得一件神秘道具。,,不思議なアイテムを入手する。,신비로운 아이템을 획득하세요.,Zdobądź mistyczny przedmiot.,Mistik bir eşya edin.,ENDLINE
NAME_LONE WOLF,LONE WOLF BADGE,BADGE DE LOUP SOLITAIRE,LUPO SOLITARIO,EINSAMER-WOLF-ABZEICHEN,INSIGNIA DE LOBO SOLITARIO,INSIGNIA DE LOBO SOLITARIO,INSÍGNIA DO ERMITÃO,ОДИНОКИЙ ВОЛК,ЗНАЧОК «САМОТНІЙ ВОВК»,独狼奖章,,一匹狼バッジ,고독한 늑대 배지,ODZNAKA SAMOTNEGO WILKA,TEK TABANCA ROZETİ,ENDLINE
DESC_LONE WOLF,Escape the island in a solo expedition.,Échappez-vous de l'île au cours d'une expédition en solo.,Fuggi dall'isola in una spedizione in solitaria.,Entkomme in einer Solo-Expedition von der Insel.,Escapa de la isla en una expedición en solitario.,Escapa de la isla en una expedición en solitario.,Escape da ilha em uma expedição solo.,Сбегите с острова в одиночной экспедиции.,Врятуйтеся з острова під час експедиції наодинці.,在单人探险中逃离岛屿。,,単独探検で島から脱出する。,1인 원정에서 섬을 탈출하세요.,Wydostań się z wyspy podczas wyprawy solo.,Tek kişilik bir keşif gezisinde adadan kaç.,ENDLINE
NAME_CLUTCH,CLUTCH BADGE,BADGE D'ACHARNEMENT,MIRACOLO,CLUTCH-ABZEICHEN,INSIGNIA DE ESCULTISMO,INSIGNIA DE AFERRAMIENTO,INSÍGNIA DO SALVADOR,ВЫВОДОК,ЗНАЧОК «РЯТІВНИК»,救星奖章,,頼れる人バッジ,대위기 배지,ODZNAKA OPIEKUNA GRUPY,KENETLENME ROZETİ,ENDLINE
